transaction_id,anomaly_type,severity_score,confidence_score,review_status
04b9c50d-4045-4c9a-ab50-c2a015812f45,Self Approval,90,0.95,Open
608af298-e10c-494c-b827-8730d6cd5b33,Self Approval,90,0.95,Open
bc33334e-7bc5-4ef7-b817-1209485a3bcb,Self Approval,90,0.95,Open
29496755-3236-46e0-9d6a-e0db5c0535c3,Self Approval,90,0.95,Open
af05c996-7360-4c03-954f-f7a91fa7480d,Self Approval,90,0.95,Open
a60bc6a0-6ec3-4891-b14e-c53462cc7c9c,Self Approval,90,0.95,Open
0b004ebe-6961-4ad9-8add-e2a85415c47f,Self Approval,90,0.95,Open
96f715e4-f8df-4c93-996c-c4363612424f,Self Approval,90,0.95,Open
989db995-5fc7-41d5-b498-bab8906e4220,Self Approval,90,0.95,Open
736f977a-3c57-4aab-a1dd-61fd5107bb45,Self Approval,90,0.95,Open
08d55fd1-12a3-454d-9f89-61c6eb0347be,Self Approval,90,0.95,Open
a38310dd-a15f-4cdd-a8fd-7b5ff13bedec,Self Approval,90,0.95,Open
c6172989-0833-47ce-a4d4-203ef80df876,Self Approval,90,0.95,Open
07ff1549-6797-40af-a600-c8a69ed5db1b,Self Approval,90,0.95,Open
1aa782d8-4195-41f7-8e4f-f1cfff7320f6,Self Approval,90,0.95,Open
9d65f0a1-6e6a-4a8b-8291-69b53630414c,Self Approval,90,0.95,Open
e6ca9b57-a92d-4888-846a-6d2f50386786,Self Approval,90,0.95,Open
f47904ec-31bb-442d-990a-f78e2751d9cc,Self Approval,90,0.95,Open
9b9b48f5-cde7-41cf-8c16-8c4ae2816501,Self Approval,90,0.95,Open
dce3d16b-ab1e-4453-9b79-7de30498c2b3,Self Approval,90,0.95,Open
5f2fe390-63a7-462b-8f0a-3353d861ec0b,Self Approval,90,0.95,Open
bd1348af-708a-444d-a7a9-e40a63cac37a,Self Approval,90,0.95,Open
7fe322bf-aad2-4b5d-8a08-be8129857153,Self Approval,90,0.95,Open
270871d5-7279-491f-8c76-35db976eaefd,Self Approval,90,0.95,Open
58b03780-001c-4c75-84f0-0ac745158c37,Self Approval,90,0.95,Open
b4444e1b-6615-4ef2-a221-3b331918b63e,Self Approval,90,0.95,Open
b1ae053a-ec53-40cd-a113-bded0653fca1,Self Approval,90,0.95,Open
b91d686b-8d58-441f-a994-344fb74637d6,Self Approval,90,0.95,Open
b86817e5-8919-4177-981c-91dfd88876e3,Self Approval,90,0.95,Open
1b3b75f6-52d7-4372-8536-63f435534f80,Self Approval,90,0.95,Open
e35c13ed-a472-40be-ac89-92be506a5db2,Self Approval,90,0.95,Open
28213c46-7963-4329-97df-27cae27cbdcf,Self Approval,90,0.95,Open
e2fcba43-f8c1-4dfb-baa6-e385cff8e563,Self Approval,90,0.95,Open
ffe92e84-c79a-408d-bb31-f3f68e3ca9d2,Self Approval,90,0.95,Open
23c701c9-63ab-4cb2-a616-ce07a150f0d0,Self Approval,90,0.95,Open
8d291fe8-7ba9-422b-8200-f8018f20eaff,Self Approval,90,0.95,Open
ee341240-01ed-442d-83d4-7711058748e3,Self Approval,90,0.95,Open
2b6d5f01-f4fb-45ab-956d-88b7de3476df,Self Approval,90,0.95,Open
a776054f-80c8-4def-b32c-e84ce6509718,Self Approval,90,0.95,Open
0eea104e-7bf0-4747-bb80-ad7ab8213d55,Self Approval,90,0.95,Open
cf64a24e-f9cf-4474-95ab-f5faafdbf614,Self Approval,90,0.95,Open
52e31b00-3dee-49f2-817c-685287e581d3,Self Approval,90,0.95,Open
b79860b6-8333-40b8-b2eb-b15c759eca7e,Self Approval,90,0.95,Open
05272cd8-eee2-41bc-b286-9638a291120a,Self Approval,90,0.95,Open
7551caad-71b1-4528-9a00-e36b179dc177,Self Approval,90,0.95,Open
4d368dc3-b63d-4441-9c84-e2f6b68c5000,Self Approval,90,0.95,Open
14e3b86e-8b91-4d9a-8b20-8afd76f8f3c2,Self Approval,90,0.95,Open
f5daed6b-af63-4832-8b54-3790cdaad208,Self Approval,90,0.95,Open
578c11b6-4863-4a4f-bda2-267ab7b64df6,Self Approval,90,0.95,Open
67a85a69-4eec-4cd2-b1f5-5988beed2d8c,Self Approval,90,0.95,Open
abc1e4d5-dbb4-4893-93bf-d19494c0692d,Self Approval,90,0.95,Open
b2f81d63-8f2b-427d-9b3c-79b2c251f484,Self Approval,90,0.95,Open
a02332b5-4baa-42ce-ad3d-9288bd774377,Self Approval,90,0.95,Open
b5ad37dc-6fd3-4dea-8afe-047bda97f7f6,Self Approval,90,0.95,Open
9c4a1f24-49c3-4d74-8d41-b4bb91540f30,Self Approval,90,0.95,Open
b8b35bcb-0567-40a7-93df-5261e719e220,Self Approval,90,0.95,Open
27b52177-a667-4451-a86a-dec77656d111,Self Approval,90,0.95,Open
1219190c-2034-430c-896f-26d61910ec1a,Self Approval,90,0.95,Open
800eeeea-bf0b-4e28-8c82-0356aecb1afa,Self Approval,90,0.95,Open
2f3b1e53-9708-4eed-bb4e-b1311a33056e,Self Approval,90,0.95,Open
c71ed0c0-ef96-4cb8-80e4-3c4f756b0281,Self Approval,90,0.95,Open
de13940b-22f5-4c53-8096-e9f02324dec7,Self Approval,90,0.95,Open
7e0ef2ff-a43c-4995-ac50-67f43554beb7,Self Approval,90,0.95,Open
1461c39c-944f-406d-b8d7-8d49a31b6a80,Self Approval,90,0.95,Open
75db1ca2-b86b-4d74-8c90-49eb5a18e906,Self Approval,90,0.95,Open
860dae1e-dd62-442b-a6b0-4007413f0beb,Self Approval,90,0.95,Open
38bf46b8-f32f-4ba9-9f98-cd69b3960d76,Self Approval,90,0.95,Open
90f0df11-d2b9-4301-b818-41bf610a633e,Self Approval,90,0.95,Open
2a2e3eb0-3ee5-40a8-9703-26a36047d17c,Self Approval,90,0.95,Open
db7269be-a079-4bc3-be8c-12c7baa2b7c5,Self Approval,90,0.95,Open
ca249c92-ae41-4480-8ec9-926947128961,Self Approval,90,0.95,Open
a57af616-389d-4160-9ff9-2ad0cbdbcae7,Self Approval,90,0.95,Open
44004edc-87fa-41ec-8a70-70b264a887a1,Self Approval,90,0.95,Open
