entity_id,entity_name,region,risk_level
1,"Phillips, Munoz and Martinez Holdings",North America,Low
2,Turner-Green Holdings,Asia,Medium
3,White Inc Holdings,Middle East,High
4,Love-Gross Holdings,North America,Medium
5,Moon-Rivera Holdings,Europe,Low
6,"Sims, Roberts and Jackson Holdings",Europe,High
7,"Bullock, Brooks and Cobb Holdings",North America,High
8,"King, Alvarez and Boyd Holdings",Asia,Medium
9,Travis and Sons Holdings,Europe,Medium
10,Costa PLC Holdings,Asia,Medium
11,Snyder-Cunningham Holdings,Middle East,Medium
12,"Riggs, Clark and Santiago Holdings",Asia,Medium
13,Coffey-Lucas Holdings,Middle East,High
14,"Hanson, Valenzuela and Jones Holdings",Middle East,Medium
15,Barber Ltd Holdings,Europe,Medium
16,"Chang, Rogers and Mejia Holdings",Europe,Medium
17,Reid LLC Holdings,Europe,Low
18,Wallace-Cannon Holdings,Europe,Medium
19,Bryant Ltd Holdings,Europe,Low
20,Bates-Stafford Holdings,Europe,Low
21,Lee-Adams Holdings,Europe,High
22,Bennett-Evans Holdings,Europe,Medium
23,Hahn-Mendoza Holdings,Middle East,Medium
24,Delgado-Ortiz Holdings,Europe,Medium
25,Lee LLC Holdings,Middle East,Medium
26,Fuller PLC Holdings,Middle East,Medium
27,"Kelly, Reed and Green Holdings",Europe,Low
28,Johnson and Sons Holdings,Europe,Low
29,"Herrera, Mitchell and Murray Holdings",North America,Medium
30,Cruz-Barajas Holdings,Europe,High
31,Giles-Fox Holdings,North America,High
32,"Davenport, Smith and Miller Holdings",Asia,High
33,"Scott, Edwards and Vaughn Holdings",Asia,Low
34,Gray-Rodriguez Holdings,North America,High
35,"Smith, Hunter and Harrison Holdings",Middle East,High
36,Mendoza-Turner Holdings,Middle East,Medium
37,Hall Group Holdings,Middle East,Medium
38,Ortega-Johnson Holdings,North America,Low
39,Davidson PLC Holdings,Asia,Medium
40,Owens LLC Holdings,North America,Low
41,"Copeland, Grant and Hernandez Holdings",Asia,Low
42,Miller PLC Holdings,Middle East,High
43,Collins PLC Holdings,Asia,High
44,Burton-Rosales Holdings,Europe,Medium
45,Thomas and Sons Holdings,North America,Low
46,Larson-Davis Holdings,North America,Medium
47,Davis-Crawford Holdings,Middle East,High
48,Solis Group Holdings,Asia,Medium
49,"Conner, Baker and Lucas Holdings",North America,High
50,Pace Ltd Holdings,Middle East,Low
